,Medium,Language,Subject,Unit,Non_word,Picture set,Picture orientation,Meaning
0,Mu,H,0,Ml,B,1,L,1
1,Mu,H,0,Ml,B,1,L,10
2,Mu,H,0,Ml,B,1,L,11
3,Mu,H,0,Ml,B,1,L,12
4,Mu,H,0,Ml,B,1,L,2
5,Mu,H,0,Ml,B,1,L,3
6,Mu,H,0,Ml,B,1,L,4
7,Mu,H,0,Ml,B,1,L,5
8,Mu,H,0,Ml,B,1,L,6
9,Mu,H,0,Ml,B,1,L,7
10,Mu,H,0,Ml,B,1,L,8
11,Mu,H,0,Ml,B,1,L,9
12,Mu,H,0,Ml,B,2,R,1
13,Mu,H,0,Ml,B,2,R,10
14,Mu,H,0,Ml,B,2,R,11
15,Mu,H,0,Ml,B,2,R,12
16,Mu,H,0,Ml,B,2,R,2
17,Mu,H,0,Ml,B,2,R,3
18,Mu,H,0,Ml,B,2,R,4
19,Mu,H,0,Ml,B,2,R,5
20,Mu,H,0,Ml,B,2,R,6
21,Mu,H,0,Ml,B,2,R,7
22,Mu,H,0,Ml,B,2,R,8
23,Mu,H,0,Ml,B,2,R,9
24,Mu,H,0,Ml,T,1,L,1
25,Mu,H,0,Ml,T,1,L,10
26,Mu,H,0,Ml,T,1,L,11
27,Mu,H,0,Ml,T,1,L,12
28,Mu,H,0,Ml,T,1,L,2
29,Mu,H,0,Ml,T,1,L,3
30,Mu,H,0,Ml,T,1,L,4
31,Mu,H,0,Ml,T,1,L,5
32,Mu,H,0,Ml,T,1,L,6
33,Mu,H,0,Ml,T,1,L,7
34,Mu,H,0,Ml,T,1,L,8
35,Mu,H,0,Ml,T,1,L,9
36,Mu,H,0,Ml,T,2,R,1
37,Mu,H,0,Ml,T,2,R,10
38,Mu,H,0,Ml,T,2,R,11
39,Mu,H,0,Ml,T,2,R,12
40,Mu,H,0,Ml,T,2,R,2
41,Mu,H,0,Ml,T,2,R,3
42,Mu,H,0,Ml,T,2,R,4
43,Mu,H,0,Ml,T,2,R,5
44,Mu,H,0,Ml,T,2,R,6
45,Mu,H,0,Ml,T,2,R,7
46,Mu,H,0,Ml,T,2,R,8
47,Mu,H,0,Ml,T,2,R,9
48,Mu,H,0,Sn,B,1,L,10
49,Mu,H,0,Sn,B,1,L,11
50,Mu,H,0,Sn,B,1,L,12
51,Mu,H,0,Sn,B,1,L,9
52,Mu,H,0,Sn,B,1,R,1
53,Mu,H,0,Sn,B,1,R,2
54,Mu,H,0,Sn,B,1,R,3
